Название вакансии,URL,Название кампании,Описание
Python разработчик,https://hh.ru/vacancy/31592173?query=python,ООО ДИДЖИТАЛ ТРЕЙД СОЛЮШНС,"Проектировать, разрабатывать и поддерживать веб-сервисы на языке Python с использованием Flask. Профилировать и оптимизировать код. Разрабатывать сложные системы взаимодействия... Отличные знания Python 3, Flask, SQL. Опыт в написание тестов (pytest, unittest). Понимание разницы между SQL/noSQL базами данных. "
Python Django Developer,https://hh.ru/vacancy/32690277?query=python,ООО Айдвелл,"Программировать на Python 3 и Django, Django REST Framework. Проектировать и реализовывать API. Проводить Code Review других разработчиков.  Отличное знание Python 3, Django 2.x и вышеперечисленного стека технологий. Опыт опыт работы с очередями и асинхронными задачами. "
Python/Django разработчик,https://hh.ru/vacancy/32707936?query=python,ООО ИДАГРУПП,Участие в написании ТЗ. Участие в переговорах с крупными подрядчиками вместе с менеджером проекта. Разработка и проектирование проекта от идеи... Знание Python 3.5+. Соблюдение PEP8. Уверенное знание Django 1.11+. Работа со стэком Celery / RabbitMQ. 
Программист Python,https://hh.ru/vacancy/32102149?query=python,ООО ТД Технодар,"Разработка, тестирование и поддержка REST API приложения. Взаимодействие с разработчиками базы данных и пользовательского интерфейса. Оптимизация серверного приложения для эффективной... Наличие опыта разработки с использованием языка программирования Python. Знание английского языка (для чтения технической документации и формирования понятного кода). "
Python Web Developer,https://hh.ru/vacancy/32791448?query=python, Soshace,"If you answer “yes” to all questions, send us your CV and be ready to provide a portfolio of projects... Do you have more than 3-year commercial experience in web development on projects with Python? Do you have 1..."
Python Web Developer,https://hh.ru/vacancy/32791449?query=python, Soshace,"If you answer “yes” to all questions, send us your CV and be ready to provide a portfolio of projects... Do you have more than 3-year commercial experience in web development on projects with Python? Do you have 1..."
Python Data Scientist,https://hh.ru/vacancy/32624830?query=python, Web Interactive World,"Работа с большими объемами структурированных и неструктурированных данных. Подготовка данных, выявление закономерностей на признаках, feature engineering. Построение, оценка и внедрение... Хорошая математическая подготовка, владение основами статистики, умение объяснить и доказать полученный результат. Отличное владение Python и ML-стеком (statsmodels, sklearn..."
"Senior python developer в Трипстер (Python, Django, Celery, Redis, Elasticsearch)",https://hh.ru/vacancy/31484508?query=python, Трипстер,"Что используем. Redis для сбора статистики. Nginx + uwsgi. Sentry для сбора ошибок. New Relic для мониторинга. Отличные знания Python, Django, MySQL (транзакции и оптимизация запросов), опыт работы с Elasticsearch. Базовый опыт работы с Javascript, чем-нибудь..."
Python-разработчик,https://hh.ru/vacancy/32680147?query=python,ООО РАБЛЗ,"Быстрая разработка прототипов решений. - Разработка и поддержка аналитических пайплайнов. - Поддержка аналитиков данных (также работают на Python) в разработческих задачах. Опыт промышленной разработки на Python. - Опыт работы с различными хранилищами данных (например, PostgreSQL и Hadoop) и знание SQL. - "
Программист Python,https://hh.ru/vacancy/32719006?query=python,ООО Лендсбэй," Уверенное знание python 3.х, с опытом работы от 1 года. Понимание работы asyncio, многопоточности, высоконагруженных приложений. Хорошее знание SQL..."
